technology_4,mode,timestep_1,parameter,value
chpBiomass,,2015,effConv,0.3
chpBiomass,,2020,effConv,0.32
chpBiomass,,2025,effConv,0.325
chpBiomass,,2030,effConv,0.33
chpBiomass,,2035,effConv,0.335
chpBiomass,,2040,effConv,0.34
chpBiomass,,2045,effConv,0.345
chpBiomass,,2050,effConv,0.35
chpBiomassCcs,,2015,effConv,0.279
chpBiomassCcs,,2020,effConv,0.297
chpBiomassCcs,,2025,effConv,0.302
chpBiomassCcs,,2030,effConv,0.306
chpBiomassCcs,,2035,effConv,0.311
chpBiomassCcs,,2040,effConv,0.316
chpBiomassCcs,,2045,effConv,0.32
chpBiomassCcs,,2050,effConv,0.325
chpGas,,2015,effConv,0.548
chpGas,,2020,effConv,0.567
chpGas,,2025,effConv,0.577
chpGas,,2030,effConv,0.587
chpGas,,2035,effConv,0.591
chpGas,,2040,effConv,0.596
chpGas,,2045,effConv,0.601
chpGas,,2050,effConv,0.606
chpHardcoal,,2015,effConv,0.379
chpHardcoal,,2020,effConv,0.398
chpHardcoal,,2025,effConv,0.403
chpHardcoal,,2030,effConv,0.408
chpHardcoal,,2035,effConv,0.413
chpHardcoal,,2040,effConv,0.417
chpHardcoal,,2045,effConv,0.417
chpHardcoal,,2050,effConv,0.417
chpLignite,,2015,effConv,0.379
chpLignite,,2020,effConv,0.398
chpLignite,,2025,effConv,0.403
chpLignite,,2030,effConv,0.408
chpLignite,,2035,effConv,0.413
chpLignite,,2040,effConv,0.417
chpLignite,,2045,effConv,0.417
chpLignite,,2050,effConv,0.417
chpNuclear,,2015,effConv,0.37
chpNuclear,,2020,effConv,0.37
chpNuclear,,2025,effConv,0.375
chpNuclear,,2030,effConv,0.38
chpNuclear,,2035,effConv,0.4
chpNuclear,,2040,effConv,0.42
chpNuclear,,2045,effConv,0.42
chpNuclear,,2050,effConv,0.42
chpOil,,2015,effConv,0.38
chpOil,,2020,effConv,0.38
chpOil,,2025,effConv,0.385
chpOil,,2030,effConv,0.39
chpOil,,2035,effConv,0.395
chpOil,,2040,effConv,0.4
chpOil,,2045,effConv,0.405
chpOil,,2050,effConv,0.41
frtRailConv,,2015,effConv,5.442
frtRailConv,,2020,effConv,5.512
frtRailConv,,2025,effConv,5.583
frtRailConv,,2030,effConv,5.656
frtRailConv,,2035,effConv,5.731
frtRailConv,,2040,effConv,5.809
frtRailConv,,2045,effConv,5.888
frtRailConv,,2050,effConv,5.969
frtRailElectric,,2015,effConv,10.64
frtRailElectric,,2020,effConv,10.905
frtRailElectric,,2025,effConv,11.183
frtRailElectric,,2030,effConv,11.476
frtRailElectric,,2035,effConv,11.785
frtRailElectric,,2040,effConv,12.111
frtRailElectric,,2045,effConv,12.455
frtRailElectric,,2050,effConv,12.819
frtRoadBev,,2015,effConv,1.681
frtRoadBev,,2020,effConv,1.688
frtRoadBev,,2025,effConv,1.69
frtRoadBev,,2030,effConv,1.691
frtRoadBev,,2035,effConv,1.691
frtRoadBev,,2040,effConv,1.691
frtRoadBev,,2045,effConv,1.691
frtRoadBev,,2050,effConv,1.691
frtRoadH2,,2015,effConv,1.675
frtRoadH2,,2020,effConv,1.681
frtRoadH2,,2025,effConv,1.688
frtRoadH2,,2030,effConv,1.695
frtRoadH2,,2035,effConv,1.701
frtRoadH2,,2040,effConv,1.708
frtRoadH2,,2045,effConv,1.714
frtRoadH2,,2050,effConv,1.721
frtRoadIce,useOil,2015,effConv,1.572
frtRoadIce,useOil,2020,effConv,1.589
frtRoadIce,useOil,2025,effConv,1.605
frtRoadIce,useOil,2030,effConv,1.622
frtRoadIce,useOil,2035,effConv,1.64
frtRoadIce,useOil,2040,effConv,1.657
frtRoadIce,useOil,2045,effConv,1.676
frtRoadIce,useOil,2050,effConv,1.694
frtRoadIce,useBiomass,2015,effConv,1.31
frtRoadIce,useBiomass,2020,effConv,1.324
frtRoadIce,useBiomass,2025,effConv,1.338
frtRoadIce,useBiomass,2030,effConv,1.352
frtRoadIce,useBiomass,2035,effConv,1.366
frtRoadIce,useBiomass,2040,effConv,1.381
frtRoadIce,useBiomass,2045,effConv,1.396
frtRoadIce,useBiomass,2050,effConv,1.412
frtRoadOh,,2015,effConv,9.104
frtRoadOh,,2020,effConv,9.512
frtRoadOh,,2025,effConv,9.957
frtRoadOh,,2030,effConv,10.447
frtRoadOh,,2035,effConv,10.987
frtRoadOh,,2040,effConv,11.587
frtRoadOh,,2045,effConv,12.255
frtRoadOh,,2050,effConv,13.006
frtRoadPhev,useOil,2015,effConv,1.49
frtRoadPhev,useOil,2020,effConv,1.503
frtRoadPhev,useOil,2025,effConv,1.515
frtRoadPhev,useOil,2030,effConv,1.528
frtRoadPhev,useOil,2035,effConv,1.542
frtRoadPhev,useOil,2040,effConv,1.555
frtRoadPhev,useOil,2045,effConv,1.569
frtRoadPhev,useOil,2050,effConv,1.583
frtRoadPhev,useBiomass,2015,effConv,1.341
frtRoadPhev,useBiomass,2020,effConv,1.352
frtRoadPhev,useBiomass,2025,effConv,1.364
frtRoadPhev,useBiomass,2030,effConv,1.376
frtRoadPhev,useBiomass,2035,effConv,1.388
frtRoadPhev,useBiomass,2040,effConv,1.4
frtRoadPhev,useBiomass,2045,effConv,1.412
frtRoadPhev,useBiomass,2050,effConv,1.425
frtShipBio,,2015,effConv,9.663
frtShipBio,,2020,effConv,9.805
frtShipBio,,2025,effConv,9.95
frtShipBio,,2030,effConv,10.101
frtShipBio,,2035,effConv,10.256
frtShipBio,,2040,effConv,10.415
frtShipBio,,2045,effConv,10.58
frtShipBio,,2050,effConv,10.75
frtShipConv,,2015,effConv,8.403
frtShipConv,,2020,effConv,8.526
frtShipConv,,2025,effConv,8.653
frtShipConv,,2030,effConv,8.783
frtShipConv,,2035,effConv,8.918
frtShipConv,,2040,effConv,9.057
frtShipConv,,2045,effConv,9.2
frtShipConv,,2050,effConv,9.348
hhtBiomass,,2015,effConv,0.8
hhtBiomass,,2020,effConv,0.82
hhtBiomass,,2025,effConv,0.83
hhtBiomass,,2030,effConv,0.84
hhtBiomass,,2035,effConv,0.85
hhtBiomass,,2040,effConv,0.85
hhtBiomass,,2045,effConv,0.85
hhtBiomass,,2050,effConv,0.85
hhtElectricFurnace,,2015,effConv,0.96
hhtElectricFurnace,,2020,effConv,0.97
hhtElectricFurnace,,2025,effConv,0.975
hhtElectricFurnace,,2030,effConv,0.98
hhtElectricFurnace,,2035,effConv,0.985
hhtElectricFurnace,,2040,effConv,0.99
hhtElectricFurnace,,2045,effConv,0.995
hhtElectricFurnace,,2050,effConv,1
hhtGas,,2015,effConv,0.865
hhtGas,,2020,effConv,0.865
hhtGas,,2025,effConv,0.865
hhtGas,,2030,effConv,0.865
hhtGas,,2035,effConv,0.865
hhtGas,,2040,effConv,0.865
hhtGas,,2045,effConv,0.865
hhtGas,,2050,effConv,0.865
hhtGeothermal,,2015,effConv,3.4
hhtGeothermal,,2020,effConv,3.6
hhtGeothermal,,2025,effConv,3.65
hhtGeothermal,,2030,effConv,3.7
hhtGeothermal,,2035,effConv,3.75
hhtGeothermal,,2040,effConv,3.8
hhtGeothermal,,2045,effConv,3.85
hhtGeothermal,,2050,effConv,3.9
hhtH2,,2015,effConv,0.47
hhtH2,,2020,effConv,0.48
hhtH2,,2025,effConv,0.49
hhtH2,,2030,effConv,0.5
hhtH2,,2035,effConv,0.505
hhtH2,,2040,effConv,0.51
hhtH2,,2045,effConv,0.51
hhtH2,,2050,effConv,0.51
hhtHardcoal,,2015,effConv,0.728
hhtHardcoal,,2020,effConv,0.728
hhtHardcoal,,2025,effConv,0.728
hhtHardcoal,,2030,effConv,0.728
hhtHardcoal,,2035,effConv,0.728
hhtHardcoal,,2040,effConv,0.728
hhtHardcoal,,2045,effConv,0.728
hhtHardcoal,,2050,effConv,0.728
hhtLignite,,2015,effConv,0.728
hhtLignite,,2020,effConv,0.728
hhtLignite,,2025,effConv,0.728
hhtLignite,,2030,effConv,0.728
hhtLignite,,2035,effConv,0.728
hhtLignite,,2040,effConv,0.728
hhtLignite,,2045,effConv,0.728
hhtLignite,,2050,effConv,0.728
hhtOil,,2015,effConv,0.85
hhtOil,,2020,effConv,0.85
hhtOil,,2025,effConv,0.85
hhtOil,,2030,effConv,0.85
hhtOil,,2035,effConv,0.85
hhtOil,,2040,effConv,0.85
hhtOil,,2045,effConv,0.85
hhtOil,,2050,effConv,0.85
hltBiomass,,2015,effConv,0.8
hltBiomass,,2020,effConv,0.82
hltBiomass,,2025,effConv,0.83
hltBiomass,,2030,effConv,0.84
hltBiomass,,2035,effConv,0.85
hltBiomass,,2040,effConv,0.85
hltBiomass,,2045,effConv,0.85
hltBiomass,,2050,effConv,0.85
hltHardcoal,,2015,effConv,0.728
hltHardcoal,,2020,effConv,0.728
hltHardcoal,,2025,effConv,0.728
hltHardcoal,,2030,effConv,0.728
hltHardcoal,,2035,effConv,0.728
hltHardcoal,,2040,effConv,0.728
hltHardcoal,,2045,effConv,0.728
hltHardcoal,,2050,effConv,0.728
hltLignite,,2015,effConv,0.728
hltLignite,,2020,effConv,0.728
hltLignite,,2025,effConv,0.728
hltLignite,,2030,effConv,0.728
hltLignite,,2035,effConv,0.728
hltLignite,,2040,effConv,0.728
hltLignite,,2045,effConv,0.728
hltLignite,,2050,effConv,0.728
hltElectricFurnace,,2015,effConv,0.96
hltElectricFurnace,,2020,effConv,0.97
hltElectricFurnace,,2025,effConv,0.975
hltElectricFurnace,,2030,effConv,0.98
hltElectricFurnace,,2035,effConv,0.985
hltElectricFurnace,,2040,effConv,0.99
hltElectricFurnace,,2045,effConv,0.995
hltElectricFurnace,,2050,effConv,1
hltGas,,2015,effConv,0.865
hltGas,,2020,effConv,0.865
hltGas,,2025,effConv,0.865
hltGas,,2030,effConv,0.865
hltGas,,2035,effConv,0.865
hltGas,,2040,effConv,0.865
hltGas,,2045,effConv,0.865
hltGas,,2050,effConv,0.865
hltGeothermal,,2015,effConv,3.5
hltGeothermal,,2020,effConv,3.7
hltGeothermal,,2025,effConv,3.75
hltGeothermal,,2030,effConv,3.8
hltGeothermal,,2035,effConv,3.85
hltGeothermal,,2040,effConv,3.9
hltGeothermal,,2045,effConv,3.95
hltGeothermal,,2050,effConv,4
hltHeatpump,,2015,effConv,3
hltHeatpump,,2020,effConv,3.2
hltHeatpump,,2025,effConv,3.25
hltHeatpump,,2030,effConv,3.3
hltHeatpump,,2035,effConv,3.35
hltHeatpump,,2040,effConv,3.4
hltHeatpump,,2045,effConv,3.45
hltHeatpump,,2050,effConv,3.5
hltOil,,2015,effConv,0.85
hltOil,,2020,effConv,0.85
hltOil,,2025,effConv,0.85
hltOil,,2030,effConv,0.85
hltOil,,2035,effConv,0.85
hltOil,,2040,effConv,0.85
hltOil,,2045,effConv,0.85
hltOil,,2050,effConv,0.85
pBiomass,,2015,effConv,0.34
pBiomass,,2020,effConv,0.35
pBiomass,,2025,effConv,0.355
pBiomass,,2030,effConv,0.6
pBiomass,,2035,effConv,0.37
pBiomass,,2040,effConv,0.38
pBiomass,,2045,effConv,0.38
pBiomass,,2050,effConv,0.38
pBiomassCcs,,2015,effConv,0.316
pBiomassCcs,,2020,effConv,0.325
pBiomassCcs,,2025,effConv,0.33
pBiomassCcs,,2030,effConv,0.557
pBiomassCcs,,2035,effConv,0.344
pBiomassCcs,,2040,effConv,0.353
pBiomassCcs,,2045,effConv,0.353
pBiomassCcs,,2050,effConv,0.353
pGas,,2015,effConv,0.558
pGas,,2020,effConv,0.577
pGas,,2025,effConv,0.587
pGas,,2030,effConv,0.596
pGas,,2035,effConv,0.596
pGas,,2040,effConv,0.596
pGas,,2045,effConv,0.601
pGas,,2050,effConv,0.606
pHardcoal,,2015,effConv,0.437
pHardcoal,,2020,effConv,0.447
pHardcoal,,2025,effConv,0.456
pHardcoal,,2030,effConv,0.466
pHardcoal,,2035,effConv,0.466
pHardcoal,,2040,effConv,0.466
pHardcoal,,2045,effConv,0.466
pHardcoal,,2050,effConv,0.466
pLignite,,2015,effConv,0.408
pLignite,,2020,effConv,0.437
pLignite,,2025,effConv,0.447
pLignite,,2030,effConv,0.456
pLignite,,2035,effConv,0.456
pLignite,,2040,effConv,0.456
pLignite,,2045,effConv,0.456
pLignite,,2050,effConv,0.456
pNuclear,,2015,effConv,0.37
pNuclear,,2020,effConv,0.37
pNuclear,,2025,effConv,0.375
pNuclear,,2030,effConv,0.38
pNuclear,,2035,effConv,0.4
pNuclear,,2040,effConv,0.42
pNuclear,,2045,effConv,0.42
pNuclear,,2050,effConv,0.42
pOil,,2015,effConv,0.38
pOil,,2020,effConv,0.38
pOil,,2025,effConv,0.385
pOil,,2030,effConv,0.39
pOil,,2035,effConv,0.395
pOil,,2040,effConv,0.4
pOil,,2045,effConv,0.405
pOil,,2050,effConv,0.41
psngAirBio,,2015,effConv,0.806
psngAirBio,,2020,effConv,0.821
psngAirBio,,2025,effConv,0.836
psngAirBio,,2030,effConv,0.852
psngAirBio,,2035,effConv,0.869
psngAirBio,,2040,effConv,0.886
psngAirBio,,2045,effConv,0.904
psngAirBio,,2050,effConv,0.923
psngAirConv,,2015,effConv,0.701
psngAirConv,,2020,effConv,0.714
psngAirConv,,2025,effConv,0.727
psngAirConv,,2030,effConv,0.741
psngAirConv,,2035,effConv,0.756
psngAirConv,,2040,effConv,0.771
psngAirConv,,2045,effConv,0.786
psngAirConv,,2050,effConv,0.802
psngAirH2,,2015,effConv,0.899
psngAirH2,,2020,effConv,0.915
psngAirH2,,2025,effConv,0.932
psngAirH2,,2030,effConv,0.949
psngAirH2,,2035,effConv,0.966
psngAirH2,,2040,effConv,0.984
psngAirH2,,2045,effConv,1.003
psngAirH2,,2050,effConv,1.023
psngRailConv,,2015,effConv,1.29
psngRailConv,,2020,effConv,1.318
psngRailConv,,2025,effConv,1.347
psngRailConv,,2030,effConv,1.378
psngRailConv,,2035,effConv,1.41
psngRailConv,,2040,effConv,1.443
psngRailConv,,2045,effConv,1.478
psngRailConv,,2050,effConv,1.515
psngRailElectric,,2015,effConv,2.667
psngRailElectric,,2020,effConv,2.732
psngRailElectric,,2025,effConv,2.8
psngRailElectric,,2030,effConv,2.872
psngRailElectric,,2035,effConv,2.947
psngRailElectric,,2040,effConv,3.027
psngRailElectric,,2045,effConv,3.111
psngRailElectric,,2050,effConv,3.2
psngRoadBev,,2015,effConv,2.174
psngRoadBev,,2020,effConv,2.778
psngRoadBev,,2025,effConv,3.061
psngRoadBev,,2030,effConv,3.141
psngRoadBev,,2035,effConv,3.183
psngRoadBev,,2040,effConv,3.204
psngRoadBev,,2045,effConv,3.215
psngRoadBev,,2050,effConv,3.226
psngRoadH2,,2015,effConv,2.206
psngRoadH2,,2020,effConv,2.318
psngRoadH2,,2025,effConv,2.442
psngRoadH2,,2030,effConv,2.58
psngRoadH2,,2035,effConv,2.734
psngRoadH2,,2040,effConv,2.909
psngRoadH2,,2045,effConv,3.107
psngRoadH2,,2050,effConv,3.333
psngRoadIce,useOil,2015,effConv,0.701
psngRoadIce,useOil,2020,effConv,0.727
psngRoadIce,useOil,2025,effConv,0.755
psngRoadIce,useOil,2030,effConv,0.785
psngRoadIce,useOil,2035,effConv,0.818
psngRoadIce,useOil,2040,effConv,0.853
psngRoadIce,useOil,2045,effConv,0.892
psngRoadIce,useOil,2050,effConv,0.935
psngRoadIce,useBiomass,2015,effConv,0.584
psngRoadIce,useBiomass,2020,effConv,0.701
psngRoadIce,useBiomass,2025,effConv,0.751
psngRoadIce,useBiomass,2030,effConv,0.765
psngRoadIce,useBiomass,2035,effConv,0.772
psngRoadIce,useBiomass,2040,effConv,0.775
psngRoadIce,useBiomass,2045,effConv,0.777
psngRoadIce,useBiomass,2050,effConv,0.779
psngRoadPhev,useOil,2015,effConv,0.945
psngRoadPhev,useOil,2020,effConv,1.246
psngRoadPhev,useOil,2025,effConv,1.394
psngRoadPhev,useOil,2030,effConv,1.436
psngRoadPhev,useOil,2035,effConv,1.458
psngRoadPhev,useOil,2040,effConv,1.47
psngRoadPhev,useOil,2045,effConv,1.476
psngRoadPhev,useOil,2050,effConv,1.481
psngRoadPhev,useBiomass,2015,effConv,0.85
psngRoadPhev,useBiomass,2020,effConv,1.121
psngRoadPhev,useBiomass,2025,effConv,1.254
psngRoadPhev,useBiomass,2030,effConv,1.293
psngRoadPhev,useBiomass,2035,effConv,1.313
psngRoadPhev,useBiomass,2040,effConv,1.323
psngRoadPhev,useBiomass,2045,effConv,1.328
psngRoadPhev,useBiomass,2050,effConv,1.333
xElectrolysis,,2015,effConv,0.64
xElectrolysis,,2020,effConv,0.65
xElectrolysis,,2025,effConv,0.66
xElectrolysis,,2030,effConv,0.67
xElectrolysis,,2035,effConv,0.68
xElectrolysis,,2040,effConv,0.69
xElectrolysis,,2045,effConv,0.7
xElectrolysis,,2050,effConv,0.709
xFuelCell,onlyPower,2015,effConv,0.47
xFuelCell,onlyPower,2020,effConv,0.48
xFuelCell,onlyPower,2025,effConv,0.49
xFuelCell,onlyPower,2030,effConv,0.5
xFuelCell,onlyPower,2035,effConv,0.505
xFuelCell,onlyPower,2040,effConv,0.51
xFuelCell,onlyPower,2045,effConv,0.51
xFuelCell,onlyPower,2050,effConv,0.51
xFuelCell,someHeat,2015,effConv,0.37
xFuelCell,someHeat,2020,effConv,0.38
xFuelCell,someHeat,2025,effConv,0.385
xFuelCell,someHeat,2030,effConv,0.39
xFuelCell,someHeat,2035,effConv,0.395
xFuelCell,someHeat,2040,effConv,0.4
xFuelCell,someHeat,2045,effConv,0.4
xFuelCell,someHeat,2050,effConv,0.4
xMethanation,useBiomass,2015,effConv,0.6
xMethanation,useBiomass,2020,effConv,0.62
xMethanation,useBiomass,2025,effConv,0.64
xMethanation,useBiomass,2030,effConv,0.663
xMethanation,useBiomass,2035,effConv,0.687
xMethanation,useBiomass,2040,effConv,0.712
xMethanation,useBiomass,2045,effConv,0.74
xMethanation,useBiomass,2050,effConv,0.77
xMethanation,useHydrogen,2015,effConv,0.39
xMethanation,useHydrogen,2020,effConv,0.418
xMethanation,useHydrogen,2025,effConv,0.451
xMethanation,useHydrogen,2030,effConv,0.489
xMethanation,useHydrogen,2035,effConv,0.534
xMethanation,useHydrogen,2040,effConv,0.589
xMethanation,useHydrogen,2045,effConv,0.656
xMethanation,useHydrogen,2050,effConv,0.74
resGeothermal,,2015,effConv,0.35
resGeothermal,,2020,effConv,0.355
resGeothermal,,2025,effConv,0.36
resGeothermal,,2030,effConv,0.365
resGeothermal,,2035,effConv,0.37
resGeothermal,,2040,effConv,0.375
resGeothermal,,2045,effConv,0.38
resGeothermal,,2050,effConv,0.385
resHydroLarge,,2015,effConv,0.35
resHydroLarge,,2020,effConv,0.34
resHydroLarge,,2025,effConv,0.33
resHydroLarge,,2030,effConv,0.32
resHydroLarge,,2035,effConv,0.31
resHydroLarge,,2040,effConv,0.3
resHydroLarge,,2045,effConv,0.29
resHydroLarge,,2050,effConv,0.28
resHydroSmall,,2015,effConv,0.4
resHydroSmall,,2020,effConv,0.39
resHydroSmall,,2025,effConv,0.38
resHydroSmall,,2030,effConv,0.37
resHydroSmall,,2035,effConv,0.36
resHydroSmall,,2040,effConv,0.35
resHydroSmall,,2045,effConv,0.34
resHydroSmall,,2050,effConv,0.33
